;This file contains bonded parameters that can be assigned by Sobtop
;There are following fields in sequence: $BOND, $ANGLE, $DIHEDRAL, $HARM_DIH, $IMPROPER
;The lines beginning with semicolon are comment lines
;Between atom types there must be a - symbol
;GAFF parameters come from gaff.dat (Version 1.81, May 2017) in AmberTools 21
;AMBER parameters come from parm19.dat in AmberTools 21, corresponding to AMBER19SB with parmbsc0 and OL3


;Content between $BOND ... $end are parameters of bond terms
;Parameters should be given in AMBER/GAFF form: E_bond = k*(r-r0)^2
;Column 1: Two atom types
;Column 2: Force constant (k) in kcal/mol/A^2
;Column 3: Equilibrium bond distance (r0) in Angstrom
;Note that in GROMACS the potential is (1/2)*k*(r-r0)^2, so the k given below is half of that used in GROMACS
;To convert to k in GROMACS convention, the k in this section should be multiplied by 4.184*100*2
$BOND
Ctest-Ctest   300.9    1.5375
Si_bulk-O_bulk  285  1.65
ow-hw  553.0    0.9572
hw-hw  553.0    1.5136
br-br   81.0    2.5420
br-c   114.31   2.0128
br-c1  196.60   1.7926
br-c2  147.76   1.9054
br-c3  123.31   1.9805
br-c5  119.19   1.9949
br-c6  116.96   2.0030
br-ca  145.49   1.9117
br-cc  155.28   1.8853
br-cd  155.01   1.8860
br-ce  148.05   1.9046
br-cf  132.53   1.9502
br-cs  141.88   1.9220
br-cx  136.81   1.9370
br-cy  132.40   1.9506
br-n1  141.5    1.8600
br-n   130.36   1.8645
br-n2  108.05   1.9408
br-n3  110.4    1.9520
br-n4  118.3    1.9260
br-n7  108.15   1.9404
br-na  131.84   1.8600
br-nh  112.8    1.9440
br-no   79.56   2.0720
br-ns  123.95   1.8847
br-nu  101.65   1.9663
br-ny  110.29   1.9323
br-nz  109.05   1.9370
br-o   193.6    1.8000
br-oh  145.40   1.8690
br-os  143.59   1.8740
br-p2  121.29   2.2558
br-p3  121.79   2.2538
br-p4  164.10   2.1147
br-p5  132.02   2.2153
br-s   169.2    2.2200
br-s4  128.8    2.3410
br-s6  146.90   2.2544
br-sh  155.56   2.2270
br-ss  155.13   2.2283
c1-c1  699.13   1.2095
c1-c2  466.85   1.3185
c1-c3  284.58   1.4656
c1-c5  277.77   1.4732
c1-c6  278.48   1.4724
c1-ca  325.6    1.4400
c1-cc  322.23   1.4272
c1-ce  336.10   1.4144
c1-cf  311.66   1.4374
c1-cg  684.97   1.2148
c1-ch  685.23   1.2147
c1-cl  250.10   1.6532
c1-cv  487.26   1.3065
c1-cx  304.46   1.4446
c1-cy  285.76   1.4643
c1-f   482.2    1.2700
c1-ha  392.43   1.0666
c1-hc  448.2    1.0600
c1-i   102.82   2.1756
c1-n1  751.25   1.1619
c1-n2  658.45   1.1951
c1-n3  397.76   1.3310
c1-n   428.9    1.3300
c1-n4  289.30   1.4247
c1-n7  378.09   1.3455
c1-n8  374.69   1.3481
c1-na  376.65   1.3466
c1-ne  636.97   1.2036
c1-nf  720.5    1.2020
c1-nh  352.74   1.3656
c1-nj  377.30   1.3461
c1-no  300.68   1.4130
c1-ns  377.17   1.3462
c1-nu  383.53   1.3414
c1-ny  293.90   1.4199
c1-nz  301.68   1.4120
c1-o   701.76   1.1749
c1-oh  430.35   1.3043
c1-os  415.54   1.3141
c1-p2  442.30   1.5550
c1-p3  203.9    1.7900
c1-p4  234.44   1.7809
c1-p5  228.55   1.7906
c1-s2  380.5    1.5950
c1-s   363.87   1.5925
c1-s4  231.16   1.7546
c1-s6  238.97   1.7422
c1-sh  262.99   1.7069
c1-ss  274.01   1.6920
c1-sy  254.16   1.7194
c2-c2  436.00   1.3379
c2-c3  248.40   1.5088
c2-c5  243.38   1.5154
c2-c6  244.96   1.5133
c2-ca  385.05   1.3739
c2-cc  412.83   1.3536
c2-cd  407.59   1.3573
c2-ce  424.30   1.3457
c2-cf  421.36   1.3477
c2-cl  196.04   1.7415
c2-cu  458.00   1.3239
c2-cv  444.02   1.3327
c2-cx  267.76   1.4848
c2-cy  247.02   1.5106
c2-f   350.61   1.3375
c2-h4  359.91   1.0865
c2-h5  353.32   1.0908
c2-ha  357.29   1.0882
c2-hc  393.9    1.0870
c2-hx  364.44   1.0836
c2-i   103.07   2.1745
c2-n1  470.9    1.3060
c2-n2  475.99   1.2809
c2-n   313.87   1.4001
c2-n3  293.23   1.4206
c2-n4  213.34   1.5205
c2-na  303.08   1.4106
c2-nc  458.2    1.3130
c2-nd  458.2    1.3130
c2-ne  454.84   1.2934
c2-nf  442.38   1.3011
c2-nh  333.92   1.3817
c2-nm  311.16   1.4027
c2-no  267.46   1.4488
c2-ns  316.82   1.3973
c2-nu  326.22   1.3886
c2-nv  324.58   1.3901
c2-nx  227.62   1.4996
c2-ny  213.41   1.5204
c2-nz  204.95   1.5336
c2-o   577.40   1.2249
c2-oh  376.23   1.3423
c2-os  350.47   1.3628
c2-p2  321.31   1.6649
c2-p3  201.99   1.8385
c2-p4  186.1    1.8220
c2-p5  190.62   1.8614
c2-pe  313.65   1.6735
c2-pf  275.1    1.6890
c2-py  149.43   1.9608
c2-s2  194.93   1.8197
c2-s   277.52   1.6874
c2-s4  137.43   1.9608
c2-s6  193.43   1.8227
c2-sh  213.53   1.7846
c2-ss  213.76   1.7842
c3-c3  228.89   1.5354
c3-c5  227.64   1.5372
c3-c6  223.80   1.5428
c3-ca  243.91   1.5147
c3-cc  255.14   1.5002
c3-cd  253.87   1.5018
c3-ce  246.79   1.5109
c3-cf  247.02   1.5106
c3-cl  164.00   1.8092
c3-cs  243.68   1.5150
c3-cu  268.18   1.4843
c3-cv  263.1    1.5010
c3-cx  241.88   1.5174
c3-cy  232.49   1.5303
c3-f   334.28   1.3512
c3-h1  344.22   1.0969
c3-h2  347.02   1.0950
c3-h3  348.80   1.0938
c3-hc  345.25   1.0962
c3-hx  352.86   1.0911
c3-i    92.37   2.2260
c3-n1  283.85   1.4305
c3-n2  260.82   1.4566
c3-n   254.46   1.4643
c3-n3  255.85   1.4626
c3-n4  215.86   1.5167
c3-n7  255.52   1.4630
c3-n8  253.81   1.4651
c3-na  254.79   1.4639
c3-nc  269.3    1.4560
c3-nd  269.3    1.4560
c3-nh  256.92   1.4613
c3-nj  262.33   1.4548
c3-nk  222.99   1.5062
c3-nl  227.83   1.4993
c3-no  211.58   1.5232
c3-np  256.75   1.4615
c3-nq  263.26   1.4537
c3-ns  261.66   1.4556
c3-nu  258.82   1.4590
c3-nx  219.76   1.5109
c3-ny  222.43   1.5070
c3-nz  238.81   1.4843
c3-o   406.05   1.3206
c3-oh  285.15   1.4242
c3-os  282.27   1.4273
c3-p2  185.39   1.8725
c3-p3  186.36   1.8704
c3-p4  196.92   1.8485
c3-p5  199.23   1.8439
c3-px  197.52   1.8473
c3-py  201.07   1.8403
c3-s   184.13   1.8420
c3-s4  183.10   1.8442
c3-s6  198.48   1.8127
c3-sh  182.92   1.8446
c3-ss  184.74   1.8407
c3-sx  177.54   1.8564
c3-sy  198.12   1.8134
c5-c5  220.10   1.5483
c5-c6  226.47   1.5389
c5-ca  243.60   1.5151
c5-cc  251.51   1.5048
c5-cd  249.33   1.5076
c5-ce  241.66   1.5177
c5-cf  227.37   1.5376
c5-cl  163.96   1.8093
c5-cs  231.42   1.5318
c5-cx  231.85   1.5312
c5-cy  224.00   1.5425
c5-f   291.13   1.3917
c5-h1  343.78   1.0972
c5-h2  346.28   1.0955
c5-h3  345.84   1.0958
c5-hc  346.43   1.0954
c5-hx  351.96   1.0917
c5-i    91.50   2.2305
c5-n2  248.77   1.4714
c5-n   251.07   1.4685
c5-n3  249.40   1.4706
c5-n4  202.77   1.5371
c5-n7  249.40   1.4706
c5-n8  257.41   1.4607
c5-na  260.40   1.4571
c5-nh  249.24   1.4708
c5-nj  265.74   1.4508
c5-no  207.66   1.5293
c5-np  232.51   1.4928
c5-ns  262.59   1.4545
c5-nu  250.52   1.4692
c5-nx  213.47   1.5203
c5-ny  213.80   1.5198
c5-o   600.45   1.2147
c5-oh  289.69   1.4194
c5-os  275.61   1.4346
c5-p3  181.73   1.8805
c5-p5  188.38   1.8661
c5-py  191.77   1.8590
c5-s   190.58   1.8285
c5-s4  172.18   1.8686
c5-s6  171.83   1.8694
c5-sh  179.52   1.8520
c5-ss  180.02   1.8509
c5-sx  160.80   1.8961
c5-sy  179.61   1.8518
c6-c6  226.81   1.5384
c6-ca  239.73   1.5203
c6-cc  253.39   1.5024
c6-cd  250.49   1.5061
c6-ce  239.14   1.5211
c6-cf  235.86   1.5256
c6-cl  152.16   1.8384
c6-cs  221.44   1.5463
c6-cv  254.58   1.5009
c6-cx  234.27   1.5278
c6-cy  225.51   1.5403
c6-f   279.10   1.4043
c6-h1  342.02   1.0984
c6-h2  341.88   1.0985
c6-h3  345.84   1.0958
c6-hc  342.75   1.0979
c6-hx  349.85   1.0931
c6-i    86.32   2.2585
c6-n1  282.46   1.4320
c6-n2  258.07   1.4599
c6-n   252.36   1.4669
c6-n3  253.33   1.4657
c6-n4  207.21   1.5300
c6-n7  253.65   1.4653
c6-n8  251.96   1.4674
c6-na  251.64   1.4678
c6-nh  252.92   1.4662
c6-nj  258.98   1.4588
c6-nl  216.05   1.5164
